symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
C,2023-07-03,2024-07-02,10000.0,11616.64037322998,16.166403732299806,35.0,70.0,30.0,False,N/A,True,
CFG,2023-07-03,2024-07-02,10000.0,10965.519441604614,9.655194416046143,24.0,70.0,30.0,False,N/A,True,
CLX,2023-07-03,2024-07-02,10000.0,8457.540283203125,-15.42459716796875,44.0,70.0,30.0,False,N/A,True,
CME,2023-07-03,2024-07-02,10000.0,10919.559921264648,9.195599212646483,21.0,70.0,30.0,False,N/A,True,
CMS,2023-07-03,2024-07-02,10000.0,10487.109828948975,4.871098289489746,25.0,70.0,30.0,False,N/A,True,
KO,2023-07-03,2024-07-02,10000.0,9840.700115203857,-1.5929988479614257,38.0,70.0,30.0,False,N/A,True,
CTSH,2023-07-03,2024-07-02,10000.0,8988.210273742676,-10.117897262573242,49.0,70.0,30.0,False,N/A,True,
CL,2023-07-03,2024-07-02,10000.0,10891.920265197754,8.919202651977539,24.0,70.0,30.0,False,N/A,True,
CMCSA,2023-07-03,2024-07-02,10000.0,10172.748847961426,1.727488479614258,26.0,70.0,30.0,False,N/A,True,
CAG,2023-07-03,2024-07-02,10000.0,9780.710245132446,-2.1928975486755373,36.0,70.0,30.0,False,N/A,True,
COP,2023-07-03,2024-07-02,10000.0,10727.610488891602,7.276104888916016,35.0,70.0,30.0,False,N/A,True,
ED,2023-07-03,2024-07-02,10000.0,10478.579086303711,4.785790863037109,22.0,70.0,30.0,False,N/A,True,
STZ,2023-07-03,2024-07-02,10000.0,9658.000579833984,-3.4199942016601566,22.0,70.0,30.0,False,N/A,True,
CEG,2023-07-03,2024-07-02,10000.0,11503.040832519531,15.030408325195314,7.0,70.0,30.0,False,N/A,True,
COO,2023-07-03,2024-07-02,10000.0,9157.39054107666,-8.426094589233399,51.0,70.0,30.0,False,N/A,True,
CPRT,2023-07-03,2024-07-02,10000.0,10223.880451202393,2.238804512023926,16.0,70.0,30.0,False,N/A,True,
GLW,2023-07-03,2024-07-02,10000.0,9327.750539779663,-6.722494602203369,36.0,70.0,30.0,False,N/A,True,
CPAY,2023-07-03,2024-07-02,10000.0,10196.281433105469,1.9628143310546873,41.0,70.0,30.0,False,N/A,True,
CTVA,2023-07-03,2024-07-02,10000.0,11669.070617675781,16.690706176757814,32.0,70.0,30.0,False,N/A,True,
CSGP,2023-07-03,2024-07-02,10000.0,11611.199592590332,16.11199592590332,54.0,70.0,30.0,False,N/A,True,
COST,2023-07-03,2024-07-02,10000.0,11134.900268554688,11.349002685546875,7.0,70.0,30.0,False,N/A,True,
CTRA,2023-07-03,2024-07-02,10000.0,10369.280620574951,3.6928062057495117,21.0,70.0,30.0,False,N/A,True,
CRWD,2023-07-03,2024-07-02,10000.0,10920.380249023438,9.203802490234375,6.0,70.0,30.0,False,N/A,True,
CCI,2023-07-03,2024-07-02,10000.0,8696.87043762207,-13.031295623779297,60.0,70.0,30.0,False,N/A,True,
CSX,2023-07-03,2024-07-02,10000.0,8834.7598361969,-11.652401638031005,33.0,70.0,30.0,False,N/A,True,
CMI,2023-07-03,2024-07-02,10000.0,9704.839965820312,-2.951600341796875,28.0,70.0,30.0,False,N/A,True,
CVS,2023-07-03,2024-07-02,10000.0,10563.6693649292,5.636693649291992,56.0,70.0,30.0,False,N/A,True,
DHR,2023-07-03,2024-07-02,10000.0,9900.751754760742,-0.9924824523925782,17.0,70.0,30.0,False,N/A,True,
DRI,2023-07-03,2024-07-02,10000.0,7919.569808959961,-20.80430191040039,47.0,70.0,30.0,False,N/A,True,
DVA,2023-07-03,2024-07-02,10000.0,10009.299789428711,0.09299789428710938,21.0,70.0,30.0,False,N/A,True,
DAY,2023-07-03,2024-07-02,10000.0,11673.640144348145,16.736401443481444,37.0,70.0,30.0,False,N/A,True,
DECK,2023-07-03,2024-07-02,10000.0,13836.380615234375,38.36380615234375,23.0,70.0,30.0,False,N/A,True,
DE,2023-07-03,2024-07-02,10000.0,9422.019805908203,-5.779801940917969,40.0,70.0,30.0,False,N/A,True,
DAL,2023-07-03,2024-07-02,10000.0,7813.459434509277,-21.865405654907228,37.0,70.0,30.0,False,N/A,True,
